Nome Empresa;Ticker;SETOR_ATIV;DT_REFER;1;2;3;4;5;6;7;8;9;10;11;12;12 Cluster;34 Cluster;56 Cluster;78 Cluster;910 Cluster;1112 Cluster
HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;HOOT;Hospedagem e Turismo;2022-09-30;0;24897,0;24897,0;0,0;0;603433;0;-603433;0;-389888;0;37997;0,0;0,0;0,0;0,0;0,0;0,0
CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;CIEL;Intermediação Financeira;2022-09-30;10832500;1628975,0;1628975,0;5346348,0;10832500;105463879;10832500;-105463879;10832500;-89149479;10832500;94110897;0,0;0,0;0,0;0,0;0,0;0,0
PORTO SEGURO S.A.;PSSA;Seguradoras e Corretoras;2022-09-30;9953773;220035,0;220035,0;1007409,0;9953773;11771367;9953773;-11771367;9953773;-1035160;9953773;891159;2,0;2,0;0,0;0,0;1,0;1,0
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;QUAL;Seguradoras e Corretoras;2022-09-30;1447136;167727,0;167727,0;387868,0;1447136;3982176;1447136;-3982176;1447136;-269885;1447136;399260;1,0;1,0;2,0;2,0;0,0;2,0
WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZS;Seguradoras e Corretoras;2022-09-30;435294;57946,0;57946,0;361840,0;435294;1311710;435294;-1311710;435294;-356242;435294;119629;0,0;0,0;2,0;2,0;0,0;2,0
CIA SEGUROS ALIANCA DA BAHIA;CSAB;Seguradoras e Corretoras;2022-09-30;190979;0,0;0,0;79245,0;190979;387651;190979;-387651;190979;-18535;190979;70925;0,0;0,0;2,0;2,0;0,0;2,0
IRB - BRASIL RESSEGUROS S.A.;IRBR;Seguradoras e Corretoras;2022-09-30;4106821;0,0;0,0;151235,0;4106821;23027712;4106821;-23027712;4106821;-17255172;4106821;14022940;0,0;0,0;1,0;1,0;2,0;0,0
CIA HABITASUL DE PARTICIPACOES;HBTS;Emp. Adm. Part. - Crédito Imobiliário;2022-09-30;499826;15147,0;15147,0;164788,0;499826;681175;499826;-681175;499826;-114954;499826;50212;0,0;0,0;0,0;0,0;0,0;0,0
CIA GAS DE SAO PAULO - COMGAS;CGAS;Emp. Adm. Part. - Saneamento, Serv. Água e Gás;2022-09-30;1663728;4964417,0;4964417,0;107263,0;1663728;12955841;1663728;-12955841;1663728;-3292083;1663728;5391913;0,0;0,0;0,0;0,0;0,0;0,0
FLEURY S.A.;FLRY;Serviços Médicos;2022-09-30;1914903;947768,0;947768,0;136254,0;1914903;6388784;1914903;-6388784;1914903;-515303;1914903;1482183;1,0;1,0;1,0;1,0;1,0;1,0
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;HAPV;Serviços Médicos;2022-09-30;49053740;121594,0;121594,0;1989195,0;49053740;55299801;49053740;-55299801;49053740;-937766;49053740;204239;2,0;2,0;2,0;2,0;2,0;2,0
HOSPITAL MATER DEI S.A.;MATD;Serviços Médicos;2022-09-30;1639184;276420,0;276420,0;239725,0;1639184;3971160;1639184;-3971160;1639184;-257764;1639184;860360;1,0;1,0;1,0;1,0;1,0;1,0
INSTITUTO HERMES PARDINI S.A.;PARD;Serviços Médicos;2022-09-30;957428;434248,0;434248,0;356584,0;957428;2260537;957428;-2260537;957428;-643925;957428;549807;1,0;1,0;1,0;1,0;1,0;1,0
ODONTOPREV S.A.;ODPV;Serviços Médicos;2022-09-30;1206082;484162,0;484162,0;170253,0;1206082;2067227;1206082;-2067227;1206082;-735418;1206082;558832;1,0;1,0;1,0;1,0;1,0;1,0
