Data_REF;Nome Empresa;Ticker;SETOR_ATIV;1;2;3;4;5;6;7;8;9;10;11;12;Ano;Mes;12 Cluster;34 Cluster;56 Cluster;78 Cluster;910 Cluster;1112 Cluster
2023-09-30;AMBEV S.A.;ABEV;Bebidas e Fumo;119742937,25072883;14846485,248942886;14846485,248942886;42411135,141007565;119742937,25072883;197107283,27322495;119742937,25072883;-197107283,27322495;119742937,25072883;-41865816,5623143;119742937,25072883;25419319,2408844;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;B3 S.A. - BRASIL, BOLSA, BALCÃO;B3SA;Bolsas de Valores/Mercadorias e Futuros;13155639,119490523;2934284,133184972;2934284,133184972;-1310551,147627237;13155639,119490523;52474881,31366038;13155639,119490523;-52474881,31366038;13155639,119490523;-13926226,612217627;13155639,119490523;23883200,55335486;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;APER;Emp. Adm. Part. - Seguradoras e Corretoras;872639,7796220707;63761,031492467526;63761,031492467526;30081,917035775856;872639,7796220707;1512160,47451259;872639,7796220707;-1512160,47451259;872639,7796220707;-236769,11862635028;872639,7796220707;229538,9521980564;2023;09;0,0;0,0;1,0;1,0;1,0;1,0
2023-09-30;BB SEGURIDADE PARTICIPAÇÕES S.A.;BBSE;Emp. Adm. Part. - Seguradoras e Corretoras;9892385,493269598;0,0;0,0;1850559,45642958;9892385,493269598;10004242,926887339;9892385,493269598;-10004242,926887339;9892385,493269598;-111891,61551611393;9892385,493269598;-2734072,0222010715;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;BRADESPAR S.A.;BRAP;Emp. Adm. Part. - Extração Mineral;9836261,801727593;2122921,8110100436;2122921,8110100436;4616459,417645384;9836261,801727593;8041320,626910523;9836261,801727593;-8041320,626910523;9836261,801727593;1411593,7299107802;9836261,801727593;1260408,7182711866;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;CIA GAS DE SAO PAULO - COMGAS;CGAS;Emp. Adm. Part. - Saneamento, Serv. Água e Gás;918289,5175464456;6882127,813883659;6882127,813883659;45181,914929394145;918289,5175464456;17024769,81971079;918289,5175464456;-17024769,81971079;918289,5175464456;-3686973,020878717;918289,5175464456;6332459,2751173545;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;CIA HABITASUL DE PARTICIPACOES;HBTS;Emp. Adm. Part. - Crédito Imobiliário;810317,861347925;78216,15236179034;78216,15236179034;238479,1676800627;810317,861347925;1092353,6124076706;810317,861347925;-1092353,6124076706;810317,861347925;-176267,13955246235;810317,861347925;86109,25209574291;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;CIEL;Intermediação Financeira;6397953,052037334;1710761,6018633684;1710761,6018633684;2945013,408986886;6397953,052037334;81242540,92642987;6397953,052037334;-81242540,92642987;6397953,052037334;-73978180,81457672;6397953,052037334;76485219,49435347;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;DEXXOS PARTICIPAÇÕES S.A.;DEXP;Emp. Adm. Part. - Petroquímicos e Borracha;825923,1982298144;76616,87634528251;76616,87634528251;392965,8091207227;825923,1982298144;921357,1929999108;825923,1982298144;-921357,1929999108;825923,1982298144;-101683,67672597225;825923,1982298144;19823,311910803524;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;CVCB;Hospedagem e Turismo;-198238,1892164077;59988,61256222092;59988,61256222092;-799530,2340718332;-198238,1892164077;309312,1634594167;-198238,1892164077;-309312,1634594167;-198238,1892164077;-1134172,4418515444;-198238,1892164077;-1342268,8826670595;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;HOOT;Hospedagem e Turismo;0,0;32858,382654239555;32858,382654239555;0,0;0,0;592054,2620570739;0,0;-592054,2620570739;0,0;-366771,789039289;0,0;39428,43879116348;2023;09;0,0;0,0;0,0;0,0;0,0;0,0
2023-09-30;ITAU UNIBANCO HOLDING S.A.;ITUB;Bancos;163929627,30092084;9058735,831225839;9058735,831225839;107386855,54202574;163929627,30092084;208013863,82692552;163929627,30092084;-208013863,82692552;163929627,30092084;-12863417,347287547;163929627,30092084;52580602,52695508;2023;09;2,0;1,0;0,0;0,0;0,0;0,0
2023-09-30;INVESTIMENTOS BEMGE S.A.;FIGE;Bancos;110520,31589561095;-2406,61697870804;-2406,61697870804;12841,742527155933;110520,31589561095;111394,0347370652;110520,31589561095;-111394,0347370652;110520,31589561095;835,3545051177668;110520,31589561095;9116,110737426061;2023;09;1,0;2,0;1,0;1,0;1,0;1,0
2023-09-30;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;CRIV;Bancos;1178165,194041634;33568,85249525599;33568,85249525599;567912,652845615;1178165,194041634;12404800,024938002;1178165,194041634;-12404800,024938002;1178165,194041634;1519659,2575441338;1178165,194041634;-2891613,4662519186;2023;09;1,0;2,0;1,0;1,0;1,0;1,0
2023-09-30;BRB BCO DE BRASILIA S.A.;BSLI;Bancos;3092421,8384975605;142743,13786871196;142743,13786871196;1195213,7863494237;3092421,8384975605;58371912,93287206;3092421,8384975605;-58371912,93287206;3092421,8384975605;9219028,430646922;3092421,8384975605;-6243705,14574728;2023;09;1,0;2,0;1,0;1,0;1,0;1,0
