CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
04.423.567/0001-21;2022-01-01;17;127252;41989;1140;0;1577877205;99.585000;0;0.000000;1577877205;99.585000;2023-03-01
04.437.534/0001-30;2022-01-01;10;123339;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-12-30
04.739.720/0001-24;2022-01-01;1;116120;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-04-06
04.752.991/0001-10;2022-01-01;9;126082;2180;109;0;50184296;61.736547;0;0.000000;50184296;61.736547;2023-04-28
04.821.041/0001-08;2022-01-01;3;122589;413;16;1;1868020;45.490000;0;0.000000;1868020;45.490000;2022-05-23
04.895.728/0001-80;2022-01-01;6;127135;3807;200;28;73343731;3.326819;3991521;89.627856;77335252;89.627856;2022-04-28
04.902.979/0001-44;2022-01-01;11;127107;14964;539;3;1675606;2.989041;0;0.000000;1675606;2.989041;2021-12-31
04.912.242/0001-02;2022-01-01;1;115915;218;1;0;24;81.000000;5;19.000000;29;100.000000;2001-04-30
04.913.711/0001-08;2022-01-01;17;127158;219;113;2;2036;0.021380;0;0.000000;2036;0.021380;2022-04-27
04.972.092/0001-22;2022-01-01;1;116589;4;0;1;2781220;100.000000;0;0.000000;2781220;100.000000;2022-05-30
04.986.320/0001-13;2022-01-01;11;127079;14309;110;65;52255107;40.600000;0;0.000000;52255107;40.600000;2023-04-28
04.992.714/0001-84;2022-01-01;8;127113;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-04-12
05.197.443/0001-38;2022-01-01;15;124430;48099;300;2237;4455957762;62.371196;0;0.000000;4455957762;62.371196;2022-04-25
05.303.439/0001-07;2022-01-01;4;125950;1;1;0;0;0.000000;0;0.000000;0;0.000000;2022-03-16
05.336.882/0001-84;2022-01-01;3;125031;0;1;0;20000000;100.000000;0;0.000000;20000000;100.000000;2021-07-14
05.347.060/0001-07;2022-01-01;2;121626;3;1;1;0;0.000000;0;0.000000;0;0.000000;2022-10-31
05.878.397/0001-32;2022-01-01;14;127027;71716;283;1260;532365440;92.756788;0;0.000000;532365440;92.756788;2023-03-21
05.889.284/0001-32;2022-01-01;1;116178;3;2;0;0;0.000000;0;0.000000;0;0.000000;2022-04-29
