CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.336.701/0001-04;2022-01-01;13;127244;293281;Capital Integralizado;2022-12-27;3474498085.47;;67975599;18407491;86383090
00.336.701/0001-04;2022-01-01;13;127244;293282;Capital Integralizado;2020-04-14;3107338889.88;;49457271;18407491;67864762
00.336.701/0001-04;2022-01-01;13;127244;293283;Capital Integralizado;2018-01-11;1594666570.00;;39272779;10332711;49605490
00.336.701/0001-04;2022-01-01;13;127244;293284;Capital Integralizado;2013-06-28;263145011.82;;97439719;21002999;118442718
00.336.701/0001-04;2022-01-01;13;127244;293285;Capital Integralizado;2012-07-04;719454543.77;;97439719;21002999;118442718
00.336.701/0001-04;2022-01-01;13;127244;293286;Capital Integralizado;2010-12-03;419454543.77;;88695913;21002999;109698912
00.336.701/0001-04;2022-01-01;13;127244;293287;Capital Integralizado;2009-02-19;419454543.77;;886959131950;210029997060;1096989129010
00.359.742/0001-08;2022-01-01;5;125676;289985;Capital Integralizado;2020-04-30;5080323.75;;20898994;0;20898994
00.383.281/0001-09;2022-01-01;13;125986;290983;Capital Autorizado;2018-06-29;100000000000.00;;0;0;0
00.383.281/0001-09;2022-01-01;13;125986;290984;Capital Emitido;2013-02-14;60344503780.65;;1000000;0;1000000
00.383.281/0001-09;2022-01-01;13;125986;290985;Capital Subscrito;2013-02-14;60344503780.65;;1000000;0;1000000
00.383.281/0001-09;2022-01-01;13;125986;290986;Capital Integralizado;2013-02-14;60344503780.65;;1000000;0;1000000
00.389.481/0001-79;2022-01-01;2;118400;270208;Capital Subscrito;2022-04-30;1093350865.39;;211815;0;211815
00.389.481/0001-79;2022-01-01;2;118400;270209;Capital Integralizado;2022-04-30;1093350865.39;;211815;0;211815
00.416.968/0001-01;2022-01-01;11;122285;278406;Capital Emitido;2022-10-05;7653218228.26;;1297308713;1296289296;2593598009
00.416.968/0001-01;2022-01-01;11;122285;278407;Capital Subscrito;2022-10-05;7653218228.26;Totalmente integralizado;1297308713;1296289296;2593598009
00.416.968/0001-01;2022-01-01;11;122285;278408;Capital Integralizado;2022-10-05;7653218228.26;Totalmente integralizado;1297308713;1296286296;2593598009
00.416.968/0001-01;2022-01-01;11;122285;278409;Capital Autorizado;2021-06-24;12000000000.00;;0;0;0
00.545.378/0001-70;2022-01-01;5;128228;296434;Capital Autorizado;2010-04-30;32683241.00;;29188116;0;29188116
00.622.416/0001-41;2022-01-01;10;123211;282728;Capital Subscrito;2022-03-11;2622124390.53;21/10/2022;454331401;0;454331401
00.622.416/0001-41;2022-01-01;10;123211;282729;Capital Integralizado;2022-03-11;2548384329.14;;454331401;0;454331401
00.622.416/0001-41;2022-01-01;10;123211;282730;Capital Integralizado;2021-12-15;1933384329.14;;352823928;0;352823928
00.622.416/0001-41;2022-01-01;10;123211;282731;Capital Integralizado;2021-06-24;1673384330.74;;307533270;0;307533270
00.622.416/0001-41;2022-01-01;10;123211;282732;Capital Integralizado;2021-01-14;1503384332.12;;277383387;0;218370694
00.644.907/0001-93;2022-01-01;5;125817;290252;Capital Subscrito;2009-04-07;961793701.46;;402202308;384203962;786406270
00.644.907/0001-93;2022-01-01;5;125817;290253;Capital Integralizado;2009-04-07;961793701.46;;402202308;384203962;786406270
00.743.065/0001-27;2022-01-01;1;115698;262850;Capital Emitido;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2022-01-01;1;115698;262851;Capital Subscrito;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2022-01-01;1;115698;262852;Capital Integralizado;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2022-01-01;1;115698;262853;Capital Autorizado;1995-07-27;0.00;;600000000;0;600000000
00.776.574/0001-56;2022-01-01;16;127140;293029;Capital Emitido;2022-12-29;15457554222.38;29/12/2022;902529503;0;902529503
00.776.574/0001-56;2022-01-01;16;127140;293030;Capital Subscrito;2022-12-29;15457554222.38;29/12/2022;902529503;0;902529503
00.776.574/0001-56;2022-01-01;16;127140;293031;Capital Integralizado;2022-12-29;15457554222.38;29/12/2022;902529503;0;902529503
00.776.574/0001-56;2022-01-01;16;127140;293032;Capital Autorizado;2021-06-10;0.00;;1250000000;0;1250000000
00.864.214/0001-06;2022-01-01;20;127076;292721;Capital Emitido;2023-04-23;5047374702.32;;800898864;1238187676;2039086540
00.864.214/0001-06;2022-01-01;20;127076;292722;Capital Subscrito;2023-04-23;5047374702.32;;800898864;1238187676;2039086540
00.864.214/0001-06;2022-01-01;20;127076;292723;Capital Integralizado;2023-04-23;5047374702.32;;800898864;1238187676;2039086540
00.864.214/0001-06;2022-01-01;20;127076;292724;Capital Autorizado;2022-08-18;0.00;;1000000000;2000000000;3000000000
00.897.864/0001-58;2022-01-01;1;113493;256728;Capital Autorizado;1995-11-13;200000000.00;;200000;0;200000
00.924.429/0001-75;2022-01-01;7;123538;283770;Capital Integralizado;2021-08-09;4663323193.63;;142807784;19;142807803
00.924.429/0001-75;2022-01-01;7;123538;283771;Capital Integralizado;2020-10-23;4663257541.95;;136242616;19;136242635
00.924.429/0001-75;2022-01-01;7;123538;283772;Capital Integralizado;2019-06-21;4663149572.80;;125445701;19;125445720
00.924.429/0001-75;2022-01-01;7;123538;283773;Capital Integralizado;2018-05-02;4638836550.90;;112303527;19;112303546
00.924.429/0001-75;2022-01-01;7;123538;283774;Capital Integralizado;2017-10-23;4558858541.93;;110293641;19;110293660
00.924.429/0001-75;2022-01-01;7;123538;283775;Capital Integralizado;2016-10-11;4558858541.93;;367645433926725;66665012;367645500591737
00.924.429/0001-75;2022-01-01;7;123538;283776;Capital Emitido;2010-04-29;1722965684.34;29042010;210197577031248;66665012;210197643696260
00.924.429/0001-75;2022-01-01;7;123538;283777;Capital Subscrito;2010-04-29;1722965684.34;29/04/2010;210197577031248;66665012;210197643696260
